ds,ds_checkin,ds_checkout,n_nights,n_guests_min,n_guests_max,origin_country,room_type_clean,nights_bucket,search_year,search_month,checkin_dow,checkin_month,lead_time_days,has_price_filter
2014-10-01,2014-10-17,2014-10-22,5.0,1,3,ES,Entire home/apt,3-5 nights,2014,10,4.0,10.0,16.0,True
2014-10-01,2015-04-17,2015-04-19,2.0,2,16,GB,Entire home/apt,1-2 nights,2014,10,4.0,4.0,198.0,False
2014-10-01,,,,1,5,US,No Filter,nan,2014,10,,,,False
2014-10-01,2014-11-14,2014-11-19,5.0,1,10,US,Entire home/apt,3-5 nights,2014,10,4.0,11.0,44.0,False
2014-10-01,2014-11-14,2014-11-23,9.0,1,1,US,No Filter,6-14 nights,2014,10,4.0,11.0,44.0,False
2014-10-01,2014-11-15,2014-11-19,4.0,5,8,US,No Filter,3-5 nights,2014,10,5.0,11.0,45.0,False
2014-10-01,,,,1,1,TR,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-06,2014-10-08,2.0,1,1,IE,Private room,1-2 nights,2014,10,0.0,10.0,5.0,True
2014-10-01,2014-10-07,2014-10-08,1.0,1,1,IE,Private room,1-2 nights,2014,10,1.0,10.0,6.0,True
2014-10-01,2014-10-07,2014-10-09,2.0,1,1,IE,Private room,1-2 nights,2014,10,1.0,10.0,6.0,True
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2014-12-29,2015-01-01,3.0,1,2,GB,Entire home/apt,3-5 nights,2014,10,0.0,12.0,89.0,False
2014-10-01,,,,1,1,SE,Entire home/apt,nan,2014,10,,,,False
2014-10-01,2015-01-19,2015-01-22,3.0,1,1,ES,Private room,3-5 nights,2014,10,0.0,1.0,110.0,True
2014-10-01,,,,1,1,FR,No Filter,nan,2014,10,,,,False
2014-10-01,2014-11-21,2014-11-30,9.0,1,4,FR,No Filter,6-14 nights,2014,10,4.0,11.0,51.0,True
2014-10-01,2015-04-16,2015-04-27,11.0,1,1,AU,Entire home/apt,6-14 nights,2014,10,3.0,4.0,197.0,True
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-27,2014-10-30,3.0,4,4,GB,Entire home/apt,3-5 nights,2014,10,0.0,10.0,26.0,False
2014-10-01,2014-10-20,2014-10-23,3.0,2,2,FR,No Filter,3-5 nights,2014,10,0.0,10.0,19.0,True
2014-10-01,,,,5,5,US,Entire home/apt,nan,2014,10,,,,False
